Youtuber,Subscribers,Video Views,Uploads,Category,Country,Abbreviation,Lowest Monthly Earnings,Highest Monthly Earnings,Gross Tertiary Education Enrollment (%),Unemployment Rate,Population,Urban Population,Created Year
It's Mamix,15100000,1777072487,210,People & Blogs,United States,US,4000.0,63900.0,88.2,14.7,328239523,270663028,2017
THE BROWN SIBLINGS,15000000,8658553456,965,Entertainment,India,IN,25600.0,409400.0,28.1,5.36,1366417754,471031528,2016
A2 Motivation by Arvind Arora,15000000,8932038210,3168,Entertainment,India,IN,32700.0,522900.0,28.1,5.36,1366417754,471031528,2017
Z,15000000,11506702632,340,Music,Brazil,BR,45700.0,731500.0,51.3,12.08,212559417,183241641,2012
ISSEI,15000000,13562853889,1788,Comedy,Japan,JP,70600.0,1100000.0,63.2,2.29,126226568,115782416,2014
KOMPASTV,15000000,11827310821,269050,News & Politics,Indonesia,ID,28300.0,452300.0,36.3,4.69,270203917,151509724,2013
Ray William Johnson,15000000,10239836582,1803,Entertainment,United States,US,78200.0,1300000.0,88.2,14.7,328239523,270663028,2008
BigSchool,15000000,9996133066,68,Gaming,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2020
Sony Music South,15000000,9978734160,2726,Music,India,IN,60500.0,968700.0,28.1,5.36,1366417754,471031528,2014
TheRichest,15000000,2730879024,0,Education,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2006
Republic Bharat,15000000,7536093065,206,News & Politics,India,IN,0.25,4.0,28.1,5.36,1366417754,471031528,2018
PlayStation,15000000,4741434420,20292,Gaming,United States,US,10400.0,167200.0,88.2,14.7,328239523,270663028,2005
XpressTV,15000000,4008801873,724,Entertainment,Mexico,MX,8500.0,135500.0,40.2,3.42,126014024,102626859,2014
MoreAliA,15000000,4352427049,2324,Gaming,United Kingdom,GB,62700.0,1000000.0,60.0,3.85,66834405,55908316,2013
League of Legends,15000000,7159750970,1362,Gaming,United States,US,10800.0,172500.0,88.2,14.7,328239523,270663028,2009
Little Angel - M,15000000,8897705695,795,Entertainment,Brazil,BR,36400.0,581900.0,51.3,12.08,212559417,183241641,2018
Chetan Monga Vlogs,15000000,9924103188,899,People & Blogs,India,IN,28400.0,454300.0,28.1,5.36,1366417754,471031528,2014
Kwebbelkop,15000000,6889304306,5198,Gaming,United States,US,7400.0,118900.0,88.2,14.7,328239523,270663028,2008
iTownGamePlay Terror&Diversi,14900000,4977284539,8420,Entertainment,Spain,ES,3500.0,55400.0,88.9,13.96,47076781,37927409,2012
TazerCraft,14900000,5956193599,4175,Gaming,Brazil,BR,9900.0,159100.0,51.3,12.08,212559417,183241641,2011
ZutiGang,14900000,15913320995,1363,People & Blogs,Other,Other,86700.0,1400000.0,63.2,9.3,436369043,226156206,2021
8  Thai Ch8,14900000,5549770244,27944,Entertainment,Thailand,TH,12400.0,198200.0,49.3,0.75,69625582,35294600,2011
Bayashi TV,14900000,8615618825,93,Entertainment,Japan,JP,0.62,10.0,63.2,2.29,126226568,115782416,2012
melanie martinez,14900000,4395184343,127,Music,United States,US,14100.0,225400.0,88.2,14.7,328239523,270663028,2007
ERB,14900000,4033400167,86,Entertainment,United States,US,2800.0,44200.0,88.2,14.7,328239523,270663028,2006
MNCTV OFFICIAL,14900000,8074260978,66362,Entertainment,Indonesia,ID,10900.0,174300.0,36.3,4.69,270203917,151509724,2012
50 Cent,14900000,10069000444,419,Music,United States,US,30000.0,479200.0,88.2,14.7,328239523,270663028,2007
5-Minute Crafts Recycle,14800000,8866012877,3867,People & Blogs,United States,US,13300.0,212700.0,88.2,14.7,328239523,270663028,2019
Filaretiki,14800000,15788208522,2222,Other,United States,US,300800.0,4800000.0,88.2,14.7,328239523,270663028,2021
Beast Philanthropy,14800000,272678287,34,People & Blogs,Germany,DE,9.0,152.0,70.2,3.04,83132799,64324835,2015
Major Lazer Official,14800000,9383431376,0,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2013
Jorge & Mateus Oficial,14800000,9076642765,318,Music,Brazil,BR,22000.0,352500.0,51.3,12.08,212559417,183241641,2008
Meghan Trainor,14800000,8649303688,233,People & Blogs,United States,US,12900.0,206600.0,88.2,14.7,328239523,270663028,2008
Lachlan,14800000,5269059435,3834,Gaming,Australia,AU,5300.0,84300.0,113.1,5.27,25766605,21844756,2013
MattyBRaps,14800000,3587576784,195,Music,United States,US,5700.0,91900.0,88.2,14.7,328239523,270663028,2010
CrashCourse,14800000,1833519700,1481,Education,United States,US,1800.0,28700.0,88.2,14.7,328239523,270663028,2006
Fueled By Ramen,14800000,13356517783,1210,Music,United States,US,15300.0,244800.0,88.2,14.7,328239523,270663028,2006
CollegeHumor,14700000,7255848125,4340,Comedy,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2006
Camila Loures,14700000,4684983333,3978,Music,Brazil,BR,10200.0,163900.0,51.3,12.08,212559417,183241641,2014
ABC News,14700000,12961669452,80830,News & Politics,United States,US,46400.0,742800.0,88.2,14.7,328239523,270663028,2006
Colors Rishtey,14700000,12362331529,23490,Entertainment,India,IN,86900.0,1400000.0,28.1,5.36,1366417754,471031528,2013
Netflix Jr.,14700000,8882319696,1996,Education,United States,US,19900.0,317600.0,88.2,14.7,328239523,270663028,2012
Maha Fun Tv,14700000,1321380490,85,Entertainment,United States,US,1200.0,19100.0,88.2,14.7,328239523,270663028,2017
Chad Wild Clay,14700000,6751985988,698,Comedy,United States,US,9100.0,145400.0,88.2,14.7,328239523,270663028,2006
The Slow Mo Guys,14700000,2465473772,317,Entertainment,United States,US,4700.0,75900.0,88.2,14.7,328239523,270663028,2010
Canal Nostalgia,14700000,1506796393,554,Entertainment,Spain,ES,57.0,906.0,88.9,13.96,47076781,37927409,2010
StudyIQ IAS,14700000,4029253667,43564,Education,India,IN,18600.0,297900.0,28.1,5.36,1366417754,471031528,2015
Martin Garrix,14600000,6017932195,365,Music,United States,US,8900.0,142100.0,88.2,14.7,328239523,270663028,2011
Noman Official,14600000,5525773746,560,Comedy,India,IN,34800.0,556500.0,28.1,5.36,1366417754,471031528,2019
Mis Pastelitos,14600000,2750902766,603,Howto & Style,Mexico,MX,12700.0,202700.0,40.2,3.42,126014024,102626859,2014
Fifth Harmony,14600000,7952268926,67,Music,United States,US,9400.0,150500.0,88.2,14.7,328239523,270663028,2013
O Reino Infantil,14600000,11182302317,1206,Music,Brazil,BR,27500.0,439500.0,51.3,12.08,212559417,183241641,2014
PrestonPlayz,14600000,5766647017,4009,Gaming,United States,US,37900.0,606800.0,88.2,14.7,328239523,270663028,2012
Planeta das G,14600000,4622581344,951,People & Blogs,Brazil,BR,2600.0,42200.0,51.3,12.08,212559417,183241641,2015
Jesser,14600000,3603556207,1244,Gaming,United States,US,23100.0,370400.0,88.2,14.7,328239523,270663028,2012
Auron,14600000,3337074920,961,People & Blogs,Spain,ES,15100.0,242300.0,88.9,13.96,47076781,37927409,2013
Doc Tops,14600000,2613197447,490,Entertainment,Ecuador,EC,4100.0,65600.0,44.9,3.97,17373662,11116711,2014
Lilly Singh,14500000,3517662420,1064,Comedy,Canada,CA,1300.0,21300.0,68.9,5.56,36991981,30628482,2010
Hear This Music,14500000,9201428420,39,Music,Other,Other,12000.0,192800.0,63.2,9.3,436369043,226156206,2016
Aadishakti Films,14500000,6290721701,4790,Music,India,IN,12100.0,193800.0,28.1,5.36,1366417754,471031528,2016
Maroon5VEVO,14500000,20042571499,147,Music,United States,US,24500.0,392700.0,88.2,14.7,328239523,270663028,2009
TV9 Bharatvarsh,14500000,10303519926,293516,People & Blogs,India,IN,104600.0,1700000.0,28.1,5.36,1366417754,471031528,2018
GMM25Thailand,14500000,9383692066,68606,Entertainment,Thailand,TH,11400.0,182500.0,49.3,0.75,69625582,35294600,2011
Telemundo,14500000,8582696157,19201,Entertainment,United States,US,12100.0,193100.0,88.2,14.7,328239523,270663028,2007
Saad Lamjarred,14500000,4315486422,176,Music,Morocco,MA,9400.0,150300.0,35.9,9.02,36910560,22975026,2012
Boram Tube ToysReview,14500000,5014888374,618,People & Blogs,South Korea,KR,1200.0,19800.0,94.3,4.15,51709098,42106719,2016
BBC News,14500000,4598387043,18972,News & Politics,United Kingdom,GB,16600.0,265100.0,60.0,3.85,66834405,55908316,2006
Reaction Time,14500000,4260187928,1717,Entertainment,United States,US,2500.0,39600.0,88.2,14.7,328239523,270663028,2015
IDEIAS INCR,14500000,3551889957,5430,Howto & Style,Brazil,BR,709.0,11400.0,51.3,12.08,212559417,183241641,2017
Lotus Music,14500000,1739129375,514,Other,India,IN,5800.0,92100.0,28.1,5.36,1366417754,471031528,2021
les boys tv2,14500000,4577292740,453,Entertainment,United States,US,112.0,1800.0,88.2,14.7,328239523,270663028,2017
Like Nastya Stories,14500000,6944967581,479,Entertainment,United States,US,7500.0,119800.0,88.2,14.7,328239523,270663028,2019
Eli Kids - Cartoons & Songs,14500000,4821183481,605,Other,United States,US,37300.0,597000.0,88.2,14.7,328239523,270663028,2018
Rosanna Pansino,14400000,4597228794,1248,Howto & Style,United States,US,6700.0,106700.0,88.2,14.7,328239523,270663028,2010
ZEE5,14400000,18515587421,101401,Entertainment,India,IN,37400.0,599200.0,28.1,5.36,1366417754,471031528,2018
SelenaGomezVEVO,14400000,11423792969,186,Music,United States,US,22200.0,354600.0,88.2,14.7,328239523,270663028,2009
Zig & Sharko,14400000,9023952946,978,Film & Animation,Other,Other,15700.0,250800.0,63.2,9.3,436369043,226156206,2015
RS 1313 SHORTS,14400000,8011977288,5628,Entertainment,India,IN,53200.0,850600.0,28.1,5.36,1366417754,471031528,2020
Vlad and Niki PRT,14400000,6543282459,516,Other,United States,US,10000.0,160400.0,88.2,14.7,328239523,270663028,2018
Indore Physical Academy,14400000,4156427797,1838,People & Blogs,India,IN,17600.0,281600.0,28.1,5.36,1366417754,471031528,2014
Coke Studio,14400000,4035738731,450,Music,United States,US,889.0,14200.0,88.2,14.7,328239523,270663028,2008
Rclbeauty101,14400000,3900312631,463,Comedy,United States,US,2200.0,34500.0,88.2,14.7,328239523,270663028,2010
Cyprien,14400000,3086254545,222,Comedy,France,FR,2900.0,45700.0,65.6,8.43,67059887,54123364,2007
I,14400000,2972474215,381,Entertainment,Saudi Arabia,SA,1200.0,18700.0,68.0,5.93,34268528,28807838,2017
NOBRU,14400000,351763324,2,Gaming,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2006
Drawblogs,14400000,1629801448,399,Entertainment,Peru,PE,251.0,4000.0,70.7,3.31,32510453,25390339,2014
Gyan Gaming,14400000,2224121890,3086,Gaming,India,IN,3500.0,55600.0,28.1,5.36,1366417754,471031528,2017
Super Polina,14300000,4776507159,576,People & Blogs,United States,US,103.0,1700.0,88.2,14.7,328239523,270663028,2014
Rebecca Zamolo,14300000,6388439235,1,Comedy,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2011
infobells - Kannada,14200000,6554000320,433,Education,India,IN,35400.0,566800.0,28.1,5.36,1366417754,471031528,2014
DangMattSmith,14200000,3317805543,1724,Entertainment,United States,US,3200.0,51600.0,88.2,14.7,328239523,270663028,2011
Zee Bangla,14200000,11428794827,132398,Entertainment,India,IN,15000.0,239700.0,28.1,5.36,1366417754,471031528,2008
SEVENGERS,14200000,10238593147,872,Comedy,India,IN,92000.0,1500000.0,28.1,5.36,1366417754,471031528,2018
The Dodo,14200000,9964116817,8,Pets & Animals,Other,Other,2.0,29.0,63.2,9.3,436369043,226156206,2006
Crazy Frog,14200000,7946322061,0,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2005
E-MasterSensei,14200000,3920559552,1300,Gaming,Mexico,MX,11100.0,178300.0,40.2,3.42,126014024,102626859,2016
NikkieTutorials,14200000,1778318927,876,Howto & Style,Netherlands,NL,9000.0,143700.0,85.0,3.2,17332850,15924729,2008
SIS vs BRO,14200000,6973932553,60,Entertainment,Ukraine,UA,0.03,0.42,82.7,8.88,44385155,30835699,2016
Invento na Hora,14200000,4040297006,1281,Film & Animation,Brazil,BR,4800.0,76100.0,51.3,12.08,212559417,183241641,2014
TommyInnit,14200000,2084791147,342,Gaming,United Kingdom,GB,13600.0,217200.0,60.0,3.85,66834405,55908316,2015
Wish 107.5,14200000,6048517979,1823,Music,Philippines,PH,15700.0,250600.0,35.5,2.15,108116615,50975903,2014
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927,777,Sports,United Kingdom,GB,2600.0,40900.0,60.0,3.85,66834405,55908316,2011
Lana Del Rey,14100000,6884215292,43,Music,United States,US,33900.0,542300.0,88.2,14.7,328239523,270663028,2011
Bie The Ska,14100000,4627069704,1540,Entertainment,Thailand,TH,3100.0,50000.0,49.3,0.75,69625582,35294600,2006
MalumaVEVO,14100000,19013942981,182,Music,United States,US,24700.0,395300.0,88.2,14.7,328239523,270663028,2011
Yudist Ardhana,14100000,6036496916,2854,Entertainment,Indonesia,ID,44000.0,704200.0,36.3,4.69,270203917,151509724,2016
Supercar Blondie,14100000,5405563355,855,Autos & Vehicles,United Arab Emirates,AE,88300.0,1400000.0,36.8,2.35,9770529,8479744,2007
Trap City,14100000,5129529846,3,Music,Australia,AU,0.04,0.59,113.1,5.27,25766605,21844756,2015
Refugio Mental,14100000,3594936775,846,Entertainment,Other,Other,1700.0,27800.0,63.2,9.3,436369043,226156206,2013
Neha Kakkar,14100000,2131548711,149,Music,India,IN,6400.0,102400.0,28.1,5.36,1366417754,471031528,2012
ViralHog,14000000,18917687143,41117,People & Blogs,United States,US,340900.0,5500000.0,88.2,14.7,328239523,270663028,2014
Crescendo com Luluca,14000000,5094050461,1307,Entertainment,Brazil,BR,17000.0,272200.0,51.3,12.08,212559417,183241641,2015
Zee Telugu,14000000,12597067132,3,Entertainment,India,IN,0.0,0.03,28.1,5.36,1366417754,471031528,2007
ETV Jabardasth,14000000,13542939513,9652,People & Blogs,India,IN,33400.0,534300.0,28.1,5.36,1366417754,471031528,2015
AM3NlC,14000000,4959982720,5757,Gaming,Brazil,BR,2600.0,40800.0,51.3,12.08,212559417,183241641,2012
Gallina Pintadita,14000000,9660950823,62,Music,Mexico,MX,17700.0,282500.0,40.2,3.42,126014024,102626859,2011
Luli Pamp,14000000,8623705301,294,Music,Spain,ES,50400.0,806600.0,88.9,13.96,47076781,37927409,2012
TV Ana Emilia,14000000,4674164601,651,People & Blogs,Mexico,MX,6700.0,107100.0,40.2,3.42,126014024,102626859,2014
Narins Beauty,14000000,2214167846,431,Howto & Style,Sweden,SE,3400.0,54800.0,67.0,6.48,10285453,9021165,2014
Veritasium,13900000,2165885634,369,Education,United States,US,11000.0,176600.0,88.2,14.7,328239523,270663028,2010
Atlantic Records,13900000,12513842343,1660,Music,United States,US,24300.0,389100.0,88.2,14.7,328239523,270663028,2006
ADEL et SAMI,13900000,5465532801,503,Entertainment,United States,US,6700.0,107500.0,88.2,14.7,328239523,270663028,2018
Alexa Rivera,13900000,3193226072,288,Howto & Style,Other,Other,35700.0,571000.0,63.2,9.3,436369043,226156206,2010
Jamuna TV,13900000,12129583055,6,News & Politics,Bangladesh,BD,0.0,0.0,20.6,4.19,167310838,60987417,2021
T-Series Regional,13900000,5217553897,15075,Entertainment,India,IN,8400.0,133900.0,28.1,5.36,1366417754,471031528,2011
Jazzghost,13900000,5673347763,5494,Gaming,Brazil,BR,26700.0,426900.0,51.3,12.08,212559417,183241641,2012
Darkar Company Studios,13900000,2244318380,183,Film & Animation,United States,US,1100.0,18400.0,88.2,14.7,328239523,270663028,2009
karameeshchannel,13900000,9106781518,2254,Entertainment,Jordan,JO,21900.0,350600.0,34.4,14.72,10101694,9213048,2012
Dental Digest,13900000,7450345720,324,People & Blogs,Other,Other,57900.0,926200.0,63.2,9.3,436369043,226156206,2020
Geo News,13800000,5727888539,190093,News & Politics,Pakistan,PK,25000.0,400200.0,9.0,4.45,216565318,79927762,2007
Think Music India,13800000,11039343563,4978,Music,India,IN,54300.0,868400.0,28.1,5.36,1366417754,471031528,2009
Kids TV India Hindi Nursery Rhymes,13800000,6646953396,1505,Shows,India,IN,19700.0,314600.0,28.1,5.36,1366417754,471031528,2014
123 GO! Spanish,13800000,5019136690,520,People & Blogs,Mexico,MX,6600.0,106100.0,40.2,3.42,126014024,102626859,2019
Atro,13800000,2480957682,1952,Gaming,Netherlands,NL,13800.0,220500.0,85.0,3.2,17332850,15924729,2017
JD Pantoja,13800000,1493776391,16,People & Blogs,Other,Other,3400.0,54100.0,63.2,9.3,436369043,226156206,2017
Hacksmith Industries,13800000,1820559912,887,Science & Technology,Canada,CA,21000.0,335800.0,68.9,5.56,36991981,30628482,2006
Airrack,13800000,2224911030,173,Entertainment,United States,US,24900.0,398600.0,88.2,14.7,328239523,270663028,2015
MyMissAnand,13700000,4963275018,340,People & Blogs,India,IN,7000.0,111500.0,28.1,5.36,1366417754,471031528,2014
Desi Gamers,13700000,2135195239,1,Gaming,Other,Other,0.0,0.02,63.2,9.3,436369043,226156206,2020
infobells,13700000,5178142148,495,Education,India,IN,6000.0,95600.0,28.1,5.36,1366417754,471031528,2011
Wesley Safad,13700000,8134379376,438,Music,Brazil,BR,16000.0,256200.0,51.3,12.08,212559417,183241641,2009
FAPTV,13700000,5457203710,863,Comedy,Vietnam,VN,8800.0,140500.0,28.5,2.01,96462106,35332140,2014
O Que N,13700000,1967930734,696,Comedy,Brazil,BR,22000.0,351200.0,51.3,12.08,212559417,183241641,2015
NishaMadhulika,13700000,2939201386,2158,Howto & Style,India,IN,5600.0,88900.0,28.1,5.36,1366417754,471031528,2009
The Vishal bhatt,13700000,9596430464,1040,Comedy,India,IN,94800.0,1500000.0,28.1,5.36,1366417754,471031528,2021
MAIKI021,13700000,1950178163,3298,Entertainment,Brazil,BR,1900.0,29800.0,51.3,12.08,212559417,183241641,2008
Goldmines Premiere,13700000,1973638757,975,Entertainment,India,IN,9400.0,150600.0,28.1,5.36,1366417754,471031528,2013
Lindsey Stirling,13600000,3764608356,199,Music,United States,US,3800.0,61100.0,88.2,14.7,328239523,270663028,2007
BBC,13600000,9685060624,16047,Pets & Animals,United Kingdom,GB,11100.0,177700.0,60.0,3.85,66834405,55908316,2005
Saturday Night Live,13600000,14717282742,8335,Entertainment,United States,US,14200.0,226500.0,88.2,14.7,328239523,270663028,2013
DALLMYD,13600000,1948925559,412,Sports,United States,US,7700.0,122700.0,88.2,14.7,328239523,270663028,2011
Acenix,13600000,2122062016,368,Gaming,Spain,ES,11900.0,189700.0,88.9,13.96,47076781,37927409,2014
JOJO TV - Hindi Stories,13600000,5141201173,1097,Education,India,IN,2700.0,43100.0,28.1,5.36,1366417754,471031528,2016
Zeinab Harake,13600000,896891351,273,Other,Philippines,PH,3000.0,48400.0,35.5,2.15,108116615,50975903,2017
Sanjoy Das Official,13500000,3912334359,1793,Entertainment,India,IN,44800.0,716900.0,28.1,5.36,1366417754,471031528,2015
BUDI01 GAMING,13500000,1181292450,319,Gaming,Indonesia,ID,3400.0,53700.0,36.3,4.69,270203917,151509724,2019
Conor Maynard,13500000,2750993392,321,Music,United States,US,2700.0,43100.0,88.2,14.7,328239523,270663028,2006
Vijay Kumar Viner Vlogs,13500000,7958771872,1357,Entertainment,India,IN,27500.0,439300.0,28.1,5.36,1366417754,471031528,2019
Woody & Kleiny,13500000,11717217293,975,Comedy,United Kingdom,GB,123900.0,2000000.0,60.0,3.85,66834405,55908316,2013
Wengie,13500000,1900272833,462,Howto & Style,United States,US,334.0,5300.0,88.2,14.7,328239523,270663028,2010
Lady Diana,13500000,8265920659,1403,Entertainment,Ukraine,UA,18800.0,300600.0,82.7,8.88,44385155,30835699,2016
JULIA GISELLA,13500000,5380132790,19,Entertainment,United Kingdom,GB,0.4,6.0,60.0,3.85,66834405,55908316,2015
Anaysa,13500000,3445794123,591,Howto & Style,India,IN,7400.0,118800.0,28.1,5.36,1366417754,471031528,2012
Typical Gamer,13500000,4301581610,4312,Gaming,Canada,CA,8100.0,130200.0,68.9,5.56,36991981,30628482,2008
Awakening Music,13500000,5545936485,814,Music,United Kingdom,GB,8800.0,141200.0,60.0,3.85,66834405,55908316,2006
My Mate Nate,13400000,3363634923,1195,Comedy,Thailand,TH,10400.0,166700.0,49.3,0.75,69625582,35294600,2014
The Q,13400000,4306212515,96,People & Blogs,United States,US,0.0,0.01,88.2,14.7,328239523,270663028,2006
Peet Montzingo,13400000,10022557589,319,People & Blogs,United States,US,99400.0,1600000.0,88.2,14.7,328239523,270663028,2014
GMA Integrated News,13400000,9569814790,296272,News & Politics,Philippines,PH,28900.0,461800.0,35.5,2.15,108116615,50975903,2007
H2ODelirious,13400000,4356686216,3727,Gaming,United States,US,4200.0,67100.0,88.2,14.7,328239523,270663028,2007
Blockbuster Movies,13400000,2650061211,0,Entertainment,India,IN,0.0,0.0,28.1,5.36,1366417754,471031528,2017
ATHLEAN-X,13400000,2319515787,1349,Howto & Style,United States,US,3600.0,58000.0,88.2,14.7,328239523,270663028,2006
Vibhu 96,13400000,20563378,256,Other,India,IN,5100.0,81100.0,28.1,5.36,1366417754,471031528,2022
The World Adventures,13400000,2139769210,1028,People & Blogs,India,IN,261.0,4200.0,28.1,5.36,1366417754,471031528,2016
Codiscos,13400000,11789678655,7356,Music,Colombia,CO,57200.0,915600.0,55.3,9.71,50339443,40827302,2007
Vlad y Niki Show,13400000,4622628957,477,Other,United States,US,23100.0,368900.0,88.2,14.7,328239523,270663028,2018
Just For Laughs Gags,13300000,7406628736,6916,Comedy,United States,US,4400.0,69900.0,88.2,14.7,328239523,270663028,2007
penguinz0,13300000,7773543609,4613,Gaming,United States,US,47200.0,755800.0,88.2,14.7,328239523,270663028,2007
Kids Line,13300000,9088562002,2742,People & Blogs,United States,US,40500.0,647600.0,88.2,14.7,328239523,270663028,2011
Kabita's Kitchen,13300000,2831275503,1489,Howto & Style,India,IN,10800.0,172500.0,28.1,5.36,1366417754,471031528,2014
AzzyLand,13300000,6412313570,1749,Gaming,Canada,CA,1300.0,21500.0,68.9,5.56,36991981,30628482,2015
VexTrex,13300000,7923901253,2411,Entertainment,Ukraine,UA,0.0,0.0,82.7,8.88,44385155,30835699,2014
BanderitaX,13300000,4129249415,1640,Gaming,Saudi Arabia,SA,17700.0,282800.0,68.0,5.93,34268528,28807838,2013
Vogue,13300000,4177184071,3166,Entertainment,United States,US,11300.0,180400.0,88.2,14.7,328239523,270663028,2008
Stray Kids,13300000,3364230487,3,People & Blogs,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2007
Matt Steffanina,13300000,3299216601,331,Entertainment,United States,US,482.0,7700.0,88.2,14.7,328239523,270663028,2007
theRadBrad,13300000,6050102764,8195,Gaming,United States,US,3900.0,62800.0,88.2,14.7,328239523,270663028,2006
Trakin Tech,13300000,2262690743,3640,Science & Technology,India,IN,10900.0,174700.0,28.1,5.36,1366417754,471031528,2011
Kurt Hugo Schneider,13300000,3733856870,698,Entertainment,United States,US,1100.0,16900.0,88.2,14.7,328239523,270663028,2007
The Infographics Show,13200000,5263540904,4279,Education,United States,US,13000.0,207300.0,88.2,14.7,328239523,270663028,2011
CookingShooking Hindi,13200000,1758603195,393,People & Blogs,India,IN,2900.0,46000.0,28.1,5.36,1366417754,471031528,2017
Technology Gyan,13200000,1138262456,1022,Science & Technology,India,IN,4600.0,74100.0,28.1,5.36,1366417754,471031528,2015
TwinsFromRussia,13200000,9378175604,6888,People & Blogs,United States,US,29800.0,477600.0,88.2,14.7,328239523,270663028,2011
jbalvinVEVO,13200000,20743586601,237,Music,Colombia,CO,21600.0,345100.0,55.3,9.71,50339443,40827302,2010
MC Divertida,13200000,5224764969,413,Entertainment,Brazil,BR,16100.0,258100.0,51.3,12.08,212559417,183241641,2018
Vilmei,13200000,4205664894,1324,Other,Indonesia,ID,66100.0,1100000.0,36.3,4.69,270203917,151509724,2013
Sonotek Bhakti,13200000,3789736218,8019,Entertainment,India,IN,6300.0,101300.0,28.1,5.36,1366417754,471031528,2010
Ei Nerd,13200000,3568392223,0,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2007
Brawl Stars,13200000,2036408398,172,Gaming,Finland,FI,5100.0,81500.0,88.2,6.59,5520314,4716888,2017
BIBO,13200000,1148422000,192,Entertainment,Russia,RU,2200.0,35100.0,81.9,4.59,144373535,107683889,2019
HUBA,13200000,9884886099,538,Entertainment,United States,US,79900.0,1300000.0,88.2,14.7,328239523,270663028,2021
Peppa Pig em Portugu,13100000,4214172991,1365,Film & Animation,Brazil,BR,6800.0,109400.0,51.3,12.08,212559417,183241641,2014
DJ Khaled,13100000,6637820731,12,Music,Samoa,WS,0.09,2.0,7.6,8.36,202506,35588,2006
twenty one pilots,13100000,5264039679,194,Music,United States,US,12700.0,203700.0,88.2,14.7,328239523,270663028,2009
RedeTV,13100000,5333569294,36760,Entertainment,Brazil,BR,4400.0,70400.0,51.3,12.08,212559417,183241641,2011
RaptorGamer,13100000,2879263916,1444,People & Blogs,Ecuador,EC,15700.0,251600.0,44.9,3.97,17373662,11116711,2016
Hungria Hip Hop,13100000,4608751851,73,Music,Brazil,BR,12100.0,192900.0,51.3,12.08,212559417,183241641,2013
Ms Yeah,13100000,4399833602,435,People & Blogs,United States,US,15200.0,242600.0,88.2,14.7,328239523,270663028,2017
Ryan Trahan,13100000,2182651464,33,Entertainment,United States,US,0.06,0.99,88.2,14.7,328239523,270663028,2022
Painzeiro,13100000,2555801802,1077,People & Blogs,Brazil,BR,11000.0,176000.0,51.3,12.08,212559417,183241641,2015
Knowledge Tv,13100000,1936582704,7,People & Blogs,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2019
Lokdhun Punjabi,13100000,4712624489,1262,Music,India,IN,8600.0,137800.0,28.1,5.36,1366417754,471031528,2010
Ian Boggs,13100000,9110348202,1327,Entertainment,Other,Other,82300.0,1300000.0,63.2,9.3,436369043,226156206,2010
WiederDude,13100000,2733682792,289,Other,United States,US,14200.0,227600.0,88.2,14.7,328239523,270663028,2016
Alex Gonzaga Official,13100000,1401914513,287,People & Blogs,Philippines,PH,2700.0,43400.0,35.5,2.15,108116615,50975903,2017
JesseAndMike,13000000,9999238237,716,Entertainment,United States,US,10300.0,164400.0,88.2,14.7,328239523,270663028,2007
The LaBrant Fam,13000000,4637474071,612,Comedy,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2012
7 Minutoz,13000000,4349562794,521,Music,Brazil,BR,7400.0,118100.0,51.3,12.08,212559417,183241641,2012
Susy Mouriz,13000000,6270909026,1299,Entertainment,Mexico,MX,92100.0,1500000.0,40.2,3.42,126014024,102626859,2017
Wolfoo Channel,13000000,301547793,22,Other,Pakistan,PK,0.15,2.0,9.0,4.45,216565318,79927762,2021
Everson Zoio,13000000,1024467771,625,Comedy,Brazil,BR,763.0,12200.0,51.3,12.08,212559417,183241641,2009
GH'S,13000000,8739174649,510,Gaming,South Korea,KR,270300.0,4300000.0,94.3,4.15,51709098,42106719,2020
Lofi Girl,13000000,1698279553,409,Music,France,FR,7600.0,121900.0,65.6,8.43,67059887,54123364,2015
Calon Sarjana,13000000,10664585,29,Entertainment,Indonesia,ID,0.0,0.0,36.3,4.69,270203917,151509724,2016
Davie504,13000000,2683297849,838,Entertainment,Italy,IT,7500.0,119500.0,61.9,9.89,60297396,42651966,2011
Jomy Production,13000000,5057163256,8,Entertainment,India,IN,0.0,0.01,28.1,5.36,1366417754,471031528,2021
Akon,12900000,6300933122,39,Music,United States,US,22800.0,365000.0,88.2,14.7,328239523,270663028,2005
EnriqueIglesiasVEVO,12900000,15446707595,137,Music,United States,US,18900.0,303100.0,88.2,14.7,328239523,270663028,2009
Rauw Alejandro,12900000,11504090820,168,Music,Other,Other,51400.0,822200.0,63.2,9.3,436369043,226156206,2014
